,Type,Repository,Repository City,Rep. Nat.,"Repository, City",,Lib_Latitude,Lib_Longitude,Shelfmark,Date_Start,Date_End,Date_Quality,Provenance,Prov_Latitude,Prov_Longitude,Length,Width,Number Pieces,Orientation,Complete?,Language_1,Language_2,Contents,Description,Bibliography,Editor Initials,Online Images,Online bib/record,
171,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,Unknown,1400,1500,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,Genealogy of the Kings of England to Edward IV.,,"Gatfield, George. Guide to Printed Books and Manuscripts Relating to English and Foreign Heraldry and Genealogy Being a Classified Catalogue of Works of Those Branches of Literature. London: Mitchell and Hughes, 1892.",,,,
150,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,add MS 30079,1250,1300,,Unknown Provenance,,,480,21.6,,,N,Latin,,"Genealogical and historical roll of the Kings of England, from Ethelbert to the death of Henry III. preceded by an account, within an illuminated border, of the seven Saxon kingdoms.",Written on vellum.,"Gatfield, George. Guide to Printed Books and Manuscripts Relating to English and Foreign Heraldry and Genealogy Being a Classified Catalogue of Works of Those Branches of Literature. London: Mitchell and Hughes, 1892.",SDP (edited),,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS032-002021669&indx=1&recIds=IAMS032-002021669&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1393299774559&srt=rank&mode=Basic&dum=true&vl(freeText0)=add+MS+30079&vid=IAMS_VU2,
147,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,add MS 29502,1406,1406,,Unknown Provenance,,,248.92,19.05,,,,English,Latin,"Genealogical Roll of English Sovereigns, from Egbert to Edward III.",Written on vellum.,"Gatfield, George. Guide to Printed Books and Manuscripts Relating to English and Foreign Heraldry and Genealogy Being a Classified Catalogue of Works of Those Branches of Literature. London: Mitchell and Hughes, 1892.",SDP (edited),,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS032-002021022&indx=1&recIds=IAMS032-002021022&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1404144739578&srt=rank&mode=Basic&dum=true&vl(freeText0)=add+MS+29502&vid=IAMS_VU2,
149,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,add MS 29504,1429,1429,,Unknown Provenance,,,327.7,22.9,,,,English,Latin,"Genealogy, with biographical notices, of the Kings of England, from ""Adelstan, primus dux de Saxonibus,"" to the coronation of Henry VI., in 1429. Latin . The preface begins, ""Finito dominio Britonuin post regem Cadwallader."" On the dors is a genealogy of Scottish kings from Brut to Robert Bruce; and also of the Dukes of Normandy from Rollo to William the Bastard.",Written on vellum.,"Gatfield, George. Guide to Printed Books and Manuscripts Relating to English and Foreign Heraldry and Genealogy Being a Classified Catalogue of Works of Those Branches of Literature. London: Mitchell and Hughes, 1892.",SDP (edited),,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS032-002021024&indx=1&recIds=IAMS032-002021024&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1393298762049&srt=rank&mode=Basic&dum=true&vl(freeText0)=add+MS+29504&vid=IAMS_VU2,
382,Mortuary Roll,British Library,London,GB,"British Library, London GB",,,,Cotton Charters II.18,1445,1445,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,"No titles. Premonstratensian roll of West Dereham, Norfolk.",,"Goldschmidt, E.P. “An Obituary Rotulus from York, 1405.” In Studies in Art and Literature, edited by Miner, 379–83, 331. p. 382.",,,,
238,Heraldic Roll,British Library,London,GB,"British Library, London GB",,,,Cotton Roll 8,1280,1280,ca,England,,,160.02,15.88,,,,French,,The Camden Roll.,"Painted, with blazons for 185 of the 270 coats.","Greenstreet, James. “The Original Camden Roll of Arms.” In The Journal of the British Archaeological Association, Vol. 38. London: British Archaeological Association., 1882, 309–28.; Wagner, Anthony. A Catalogue of English Medieval Rolls of Arms. Aspilogia 1. Woodbridge, Suffolk: Boydell Press, 2009, 16–17.", ,,,
76,Chronicles,British Library,London,GB,"British Library, London GB",,,,Cotton Vespasian B.XI,1300,1400,,Unknown Provenance,,,Unknown,Unknown,,,N,Unknown Language,,Fragment of chronicle roll of Hagnaby Abbey.,Currently cut up.,"Gribbin, Joseph A. The Premonstratensian Order in Late Medieval England. Woodbridge, Suffolk: The Boydell Press, 2001.",SDP (bibliographic source added),,,
384,Mortuary Roll,British Library,London,GB,"British Library, London GB",,,,Harley 491,1115,1117,,"England, Durham",,,Unknown,Unknown,2,,,Unknown Language,,"Fragment: two leaves from a mortuary roll for Turgot of Durham, datable to 1115-1117 (ff. 47-48v).",,"Harrison, Julian. “The Mortuary Roll of Turgot of Durham (d. 1115).” Scriptorium: Revue Internationale Des Études Relatives Aux Manuscrits 58 (2004): 18–20.",ADM,,,
609,Recipes,British Library,London,GB,"British Library, London GB",,,,MS Add 5016,1390,1390,,England,,,583,27.5,8,V,Y,English,,"The Forme of Cury', by the chief cook of Richard II's household.",,"Hieatt, Constance B., and Sharon Butler, eds. Curye on Inglysch: English Culinary Manuscripts of the Fourteenth Century. Oxford: Oxford University Press, 2013.",SDP,,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS032-002110532&indx=2&recIds=IAMS032-002110532&recIdxs=1&elementId=1&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1432920711827&srt=rank&mode=Basic&dum=true&vl(freeText0)=add+5016&vid=IAMS_VU2,
510,Trees of Christ,British Library,London,GB,"British Library, London GB",,,,add MS 21219,1400,1475,ca,England,,,Unknown,Unknown,,,,Latin,,"Compendium Hystoriarum ex libris sacrarum et aliarum transsumptum scripturarum ab Adam primo homine usque ad Christum."" Roll contains biblical history to the time of Christ, arranged in the form of a genealogy.","Partially coloured, with some figures slightly sketched in ink. Written on vellum","Hilpert, Hans-Eberhard. “Geistliche Bildung Und Laienbildung: Zur Uberlieferung Der Schulschrift, Compendium Historiae in Genealogia Christi (Compendium Veteris Testamenti) Des Petrus von Poitiers (d. 1205) in England.” Journal of Medieval History 11 (1985): 315–31.",ALN,,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?fn=display&vid=IAMS_VU2&afterPDS=true&doc=IAMS032-002091594,
236,Heraldic Roll,British Library,London,GB,"British Library, London GB",,,,add MS 29796,1600,1600,ca,Unknown Provenance,,,213.4,104.4,,,,English,French,Copy of a roll of arms of the reign of Henry III.,Roundels in color on vellum.,"London, H. S. Rolls of Arms of Henry III. Aspilogia, III. London: Society of Antiquaries, 1957.",SDP (added bibliography),,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS032-002021352&indx=1&recIds=IAMS032-002021352&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1404149019321&srt=rank&mode=Basic&dum=true&vl(freeText0)=29796&vid=IAMS_VU2,
74,Chronicles,British Library,London,GB,"British Library, London GB",,,,add MS 48976,1483,1485,,"England, Warwickshire",,,33.5,700,8,,,English,,"An illustrated armorial roll-chronicle by John Rous (d. 1491), chantry priest of Guy's Cliffe, in the county of Warwick, commemorating the benefactors of the town of Warwick and celebrating the deeds of holders of the Warwick earldom. Inscription on the dorse, 'This rol was laburd & finishid by Master John Rows of Warrewyk'.",,"Marks, Richard, and Paul Williamson. Gothic: Art for England 1400-1547. London: V&A, 2003.",NDP,,http://www.bl.uk/manuscripts/Viewer.aspx?ref=add_ms_48976_f001ar,
619,Med-Alch,British Library,London,GB,"British Library, London GB",,,,add MS 5025 (2),1500,1600,,Germany,,,125,13.8,,,,English,,Ripley Scroll. Conventional pattern with verses by Ripley. ,,"McCallum, R. Ian. “Alchemical Scrolls Associated with George Ripley.” In Mystical Metal of Gold, edited by Stanton J. Linden, 161–88. New York: AMS Press, 2007.",SDP,,http://www.bl.uk/manuscripts/Viewer.aspx?ref=add_ms_5025_f002ar,
620,Med-Alch,British Library,London,GB,"British Library, London GB",,,,add MS 5025 (4),1500,1600,,Unknown Provenance,,,126.9,14.4,6,V,,English,Latin,Ripley Scroll. Conventional pattern and other verses not attributed to Ripley.,Written on paper.,"McCallum, R. Ian. “Alchemical Scrolls Associated with George Ripley.” In Mystical Metal of Gold, edited by Stanton J. Linden, 161–88. New York: AMS Press, 2007.",SDP,,http://www.bl.uk/manuscripts/Viewer.aspx?ref=add_ms_5025_f004ar,
625,Med-Alch,British Library,London,GB,"British Library, London GB",,,,add MS 5025 (3),1550,1600,,Unknown Provenance,,,137.5,12.5,6 or 7,,,English,Latin,Ripley Scroll. English verses and Latin inscriptions for illustrations.,,"McCallum, R. Ian. “Alchemical Scrolls Associated with George Ripley.” In Mystical Metal of Gold, edited by Stanton J. Linden, 161–88. New York: AMS Press, 2007.",SDP,,http://www.bl.uk/manuscripts/Viewer.aspx?ref=add_ms_5025_f003ar,
624,Med-Alch,British Library,London,GB,"British Library, London GB",,,,add MS 5025 (1),1500,1550,,Unknown Provenance,,,150,15.6,8,,,English,Latin,Ripley Scroll. Only English and Latin phrases with no other verses written. ,,"McCallum, R. Ian. “Alchemical Scrolls Associated with George Ripley.” In Mystical Metal of Gold, edited by Stanton J. Linden, 161–88. New York: AMS Press, 2007.",SDP,,http://www.bl.uk/manuscripts/Viewer.aspx?ref=add_ms_5025_f001ar,
314,Med-Alch,British Library,London,GB,"British Library, London GB",,,,Sloane MS 2524 A,1500,1600,,Unknown Provenance,,,390,45,,,N,English,Latin,Ripley Scroll. Incomplete and also missing verses.,,"McCallum, R. Ian. “Alchemical Scrolls Associated with George Ripley.” In Mystical Metal of Gold, edited by Stanton J. Linden, 161–88. New York: AMS Press, 2007.",SDP,,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?dscnt=1&elementId=1&vl(1UI0)=contains&recIdxs=1&frbrVersion=&vl(1UI2)=contains&tab=local&dstmp=1404741842802&srt=rank&mode=Advanced&indx=2&renderMode=poppedOut&vl(4961882UI2)=any&vl(freeText0)=sloane+2524&fn=search&vl(2604854UI1)=any&vid=IAMS_VU2&vl(freeText2)=&vl(1UI1)=contains&frbg=&displayMode=full&ct=display&dum=true&recIds=IAMS040-002114892&doc=IAMS040-002114892&Submit=Search&vl(2126785UI0)=issn&vl(freeText1)=&tabs=detailsTab&fromLogin=true&fromLogin=true,
621,Med-Alch,British Library,London,GB,"British Library, London GB",,,,"MS Sloane 2523 B, Roll 45",1500,1600,,Unknown Provenance,,,570.6,50,,,,English,Latin,Ripley Scroll. Also contains maps on verso.,Written on paper.,"McCallum, R. Ian. “Alchemical Scrolls Associated with George Ripley.” In Mystical Metal of Gold, edited by Stanton J. Linden, 161–88. New York: AMS Press, 2007.",SDP,,,
166,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,Royal 14 B V,1274,1300,ca,Unknown Provenance,,,393.5,24,6,,,Anglo-Norman,,Genealogical chronicle of Ks of England. “Brut” roll.,,"McKendrick, Scott, John Lowden, Kathleen Doyle, Joanna Frońska, and Deirdre Elizabeth Jackson. Royal Manuscripts: The Genius of Illumination. London: British Library, 2011, no. 117, pp. 344-347.; Tyson, Diana B. “The Manuscript Tradition of Old French Prose Brut Rolls.” Scriptorium 55 (2001): 107–18, BL5.",SDP (edited),http://www.bl.uk/manuscripts/Viewer.aspx?ref=royal_ms_14_b_v_f001r,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS040-002106924&indx=1&recIds=IAMS040-002106924&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1393343094329&srt=rank&mode=Basic&dum=true&vl(freeText0)=royal+14+B+v&vid=IAMS_VU2,
167,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,Royal 14 B VI,1300,1307,ca,Unknown Provenance,,,475,27.5,,,,French,,Genealogy of English kings from Rollo to Henry I.,,"McKendrick, Scott, John Lowden, Kathleen Doyle, Joanna Frońska, and Deirdre Elizabeth Jackson. Royal Manuscripts: The Genius of Illumination. London: British Library, 2011. no. 118, pp. 344-347.; Tyson, Diana B. “The Manuscript Tradition of Old French Prose Brut Rolls.” Scriptorium 55 (2001): 107–18. BL8.",,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Royal_MS_14_B_VI&index=26,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Royal_MS_14_B_VI&index=26,
7,Amulets,British Library,London,GB,"British Library, London GB",,,,add MS 88929,1485,1509,,England,,,335.5,12,4,V,,English,Latin,"Illustrated prayers, ratio of images 1:15. Scroll to be worn or placed on women in childbirth. Emblem of Henry VIII.",,"McKendrick, Scott, John Lowden, Kathleen Doyle, Joanna Frońska, and Deirdre Elizabeth Jackson. Royal Manuscripts: The Genius of Illumination. London: British Library, 2011., no. 44, pp. 186-87.",NDP (added info),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_88929,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS032-001606303&indx=2&recIds=IAMS032-001606303&recIdxs=1&elementId=1&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1404147197769&srt=rank&mode=Basic&dum=true&vl(freeText0)=arma+christi&vid=IAMS_VU2,
511,Trees of Christ,British Library,London,GB,"British Library, London GB",,,,add MS 24025,1200,1300,,Unknown Provenance,,,315,27.9,,,,Latin,,"Peter of Poitiers, Compendium historiae in Geneaogia Christi. Begins: ""Considerans historie prolixitatem.""",Vellum roll with colored drawings and medallion portraits.,"Moore, Philip S. The Works of Peter of Poitiers, Master in Theology and Chancellor of Paris (1193-1205). Notre Dame, IN: The University of Notre Dame, 1936, 103.",,,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS032-002097657&indx=1&recIds=IAMS032-002097657&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=3&scp.scps=scope%3A%28BL%29&frbg=&tab=local&dstmp=1404158720077&srt=rank&mode=Basic&dum=true&fromLogin=true&vl(freeText0)=24025&vid=IAMS_VU2,
509,Trees of Christ,British Library,London,GB,"British Library, London GB",,,,add MS 14819,1300,1325,ca,England,,,Unknown,Unknown,6,V,Y,Latin,,"Narrationes historiarum ab Adam per Patriarchas, Judices, Reges, Prophetas, et Sacerdotes eis contemporaneos, usque ad Christum, in compendium productx; cum prologo.","A roll, on vellum, with mniniatures.","Moore, Philip S. The Works of Peter of Poitiers, Master in Theology and Chancellor of Paris (1193-1205). Notre Dame, IN: The University of Notre Dame, 1936, p.105.",ALN,,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?fn=display&vid=IAMS_VU2&afterPDS=true&doc=IAMS032-002086486,
566,Vitae,British Library,London,GB,"British Library, London GB",,,,Harley Roll Y.6,1175,1210,ca,England,,,28.5,1.7,4.5,H,,Latin,,Crowland  Life of St. Guthlac in illustrated medallions.,,"Morgan, Nigel. “Early Gothic Manuscripts I (1190-1250); II (1250-1285).” In A Survey of Manuscripts Illuminated in the British Isles, edited by J.J.G. Alexander, Vol. 1. London: Harvey Miller, 1982. 67-8, ills 72-75.; Roberts, Jane. “An Inventory of Early Guthlac Materials.” Mediaeval Studies 32 (1970): 193–233. p. 208.",SDP (edited),http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=18445&CollID=8&NStart=,,
513,Trees of Christ,British Library,London,GB,"British Library, London GB",,,,add MS 60628A,1250,1260,ca,England or France,,,506.5,28.5,,,,Latin,,"Peter of Poitiers, Compendium historiae in Geneaogia Christi.",,"Morgan, Nigel. “Early Gothic Manuscripts.” In A Survey of Manuscripts Illuminated in the British Isles, edited by J.J.G. Alexander, Vol. 2. London: Harvey Miller, 1982, 180-81.",SDP (edited),,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS040-001991573&indx=3&recIds=IAMS040-001991573&recIdxs=2&elementId=2&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=0&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1404148329776&srt=rank&mode=Basic&dum=true&vl(freeText0)=60628&vid=IAMS_VU2,
515,Trees of Christ,British Library,London,GB,"British Library, London GB",,,,Royal 14.B IX,1270,1290,ca,Unknown Provenance,,,633,30.2,,,,Latin,,"Peter of Poitiers, Compendium historiae in Geneaogia Christi.",,"Morgan, Nigel. “Early Gothic Manuscripts.” In A Survey of Manuscripts Illuminated in the British Isles, edited by J.J.G. Alexander, Vol. 2. London: Harvey Miller, 1982, 180-81.",,,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=18450&CollID=16&NStart=140209,
78,Chronicles,British Library,London,GB,"British Library, London GB",,,,Harley Roll O.1,1471,1484,,France,,,659.5,51,9,V,,French,,"Short Universal Chronicle (A tous nobles) from the death of Christ, of popes, Roman emperors, the kings of Briain then England, and the kings of France, written in four columns.",,"Norbye, Marigold. “Genealogies and Dynastic Awareness in the Hundred Years War: The Evidence of A Tous Nobles Qui Aiment Beaux Faits et Bonnes Histoires.” Journal of Medieval History 33 (2007): 297–319.",SDP,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=6343&CollID=8&NStart=,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=6343&CollID=8&NStart=,
157,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,Harley 7353,1460,1470,,Unknown Provenance,,,175,53.5,,,,Latin,,Typological life and genealogy of Edward IV.,,"Radulescu, Raluca. “The Political Mentality of the English Gentry at the End of the Fifteenth Century.” New Europe College Yearbook 8 (2001 2000): 355–89. p.369.; Sutton, Anne F. and Livia Visser-Fuchs. Richard III’s Books: Ideals and Reality in the Life and Library of a Medieval Prince. Stroud, Gloucestershire: Sutton, 1997, 138, 197 n. 37, pls 64, 66.",ADM,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=18841&CollID=8&NStart=7353,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=18841&CollID=8&NStart=7353,
77,Chronicles,British Library,London,GB,"British Library, London GB",,,,Egerton MS 1518,1353,1362,ca,Italy or Spain,,,533.5,43.5,,V,,Latin,,"Roll with prologue addressed to Beltrandus, patriarch of Aquileia, dated 1348. Includes list of popes and emperors at the end of the roll.",Written on parchment.,"Robinson, P. R. Catalogue of Dated and Datelable Manuscripts C. 888-1600 in London Libraries, 1: The Text; 2: The Plates. London: The British Library, 2003.",ALN; SDP (link and type),http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=18412&CollID=28&NStart=1518,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=18412&CollID=28&NStart=1518,
465,Poetry,British Library,London,GB,"British Library, London GB",,,,add MS 23986,1250,1300,,Unknown Provenance,,,61,7.6,,,,Latin,English,"Song of the Barons, with Inderludum de clerico et puella on dorse.",Opisthographic.,"Rouse, Richard H. “Roll and Codex: The Transmission of the Works of Reinmar von Zweter.” In Paläographie 1981: Colloquium Des Conité International de Paléographie. München, 15.-18. September 1981, edited by Gabriel Silagi, 107–23, XI – XV pl. Münchener Beiträge Zur Mediävistik Und Renaissance-Forschung 32. Munich: Arbeo-Gesellschaft, 1982, 119 and n. 30",,,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS032-002097619&indx=1&recIds=IAMS032-002097619&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1404159015304&srt=rank&mode=Basic&dum=true&vl(freeText0)=add+MS+23986&vid=IAMS_VU2,
467,Poetry,British Library,London,GB,"British Library, London GB",,,,Sloane MS 809,1300,1300,ca,Unknown Provenance,,,134.6,10,,,Y,French,English,Walter of Bibbesworth’s rhyming French vocabulary.,,"Rouse, Richard H. “Roll and Codex: The Transmission of the Works of Reinmar von Zweter.” In Paläographie 1981: Colloquium Des Conité International de Paléographie. München, 15.-18. September 1981, edited by Gabriel Silagi, 107–23, XI – XV pl. Münchener Beiträge Zur Mediävistik Und Renaissance-Forschung 32. Munich: Arbeo-Gesellschaft, 1982, 119.",,,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS040-002113161&indx=1&recIds=IAMS040-002113161&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1405131807890&srt=rank&mode=Basic&dum=true&vl(freeText0)=Sloane+MS+809&vid=IAMS_VU2,
161,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,Landsdowne 456,1461,1475,,England,,,39,22,,,,Latin,,"Genealogical Chronicle of the Kings of England, from Adam to Edward IV (the 'Considerans' chronicle).",Roll rebound as codex.,"Scott, Kathleen L. Later Gothic Manuscripts 1390-1490. Vol. II. A Survey of Manuscripts Illuminated in the British IsleI 6. London: Harvey Miller, 1996, 315-16.",ADM,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=5282&CollID=15&NStart=456,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=5282&CollID=15&NStart=456,
6,Amulets,British Library,London,GB,"British Library, London GB",,,,add MS 25311,1600,1700,,Unknown Provenance,,,332.74,3.81,,V,,Latin,,"Magical images with prayers. Contains on one side magical signs for charms against diseases, wounds, etc. and on the other prayers in Latin.",Opisthographic. Written on vellum.,"Simpson, W. Sparrow. “On a Magical Roll of the Seventeenth Century.” Journal of the British Archaeological Association XL (1884): 297–332, 297.",SDP,,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS032-002032603&indx=1&recIds=IAMS032-002032603&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1403977120224&srt=rank&mode=Basic&dum=true&vl(freeText0)=add+MS+25311&vid=IAMS_VU2,
5,Amulets,British Library,London,GB,"British Library, London GB",,,,add MS 15505 fol. 22r,1500,1600,ca,Italy,,,45,31,1,,,Latin,Italian,"Textual amulet belonging to an unidentified Italian man named ""Francesco"".",,"Skemer, Don C. Binding Words: Textual Amulets in the Middle Ages. Magic in History. University Park, PA: Pennsylvania State University Press, 2006, 214-217, plate on p. 214.",KWS,,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS032-002087277&indx=1&recIds=IAMS032-002087277&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1404148162521&srt=rank&mode=Basic&dum=true&vl(freeText0)=add+ms+15505&vid=IAMS_VU2,
154,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,Cotton Roll XIII.17,1300,1400,,Unknown Provenance,,,Unknown,Unknown,,,,French,,"Roll containing a genealogy of the Kings of England from Alfred to Edward II, with short accounts of some of them, mentioning their marriages, children, and their chief events of their reigns. The last mentioned being the vengeance taken by Edward III for the death of his father.",,"Tyson, Diana B. “The Manuscript Tradition of Old French Prose Brut Rolls.” Scriptorium 55 (2001): 107–18, BL10.",,,,
139,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,add MS 11713,1377,1399,,Unknown Provenance,,,Unknown,Unknown,,,,French,,"Chronicle of England, from Brut to the accession of Edward II., in Norman-French and illustrated by a genealogical table of the kings. Written in the reign of Edward the Second [between 1377-1399]. [11,713.]",,"Tyson, Diana B. “The Manuscript Tradition of Old French Prose Brut Rolls.” Scriptorium 55 (2001): 107–18, BL2.",SDP (edited),,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS032-002109498&indx=1&recIds=IAMS032-002109498&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=1&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1393297946784&srt=rank&mode=Basic&dum=true&vl(freeText0)=add+MS+11713&vid=IAMS_VU2,
152,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,add MS 47170,1300,1400,,Unknown Provenance,,,601,235,,,,Latin,,"Egmont Papers. Vol. CCLI. ""[C]ronica rotulata Latine et Gallice conscripta cum regibus Anglie ex utraque parte depicta fratris Walteri de Witteliseye monachi mon[a]sterii de Burgo Sancti Petri. Anime cuius propicietur Deus. Amen""",,"Tyson, Diana B. “The Manuscript Tradition of Old French Prose Brut Rolls.” Scriptorium 55 (2001): 107–18, BL4.",SDP (edited),,http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS040-002103375&indx=2&recIds=IAMS040-002103375&recIdxs=1&elementId=1&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=0&frbg=&scp.scps=scope%3A%28BL%29&tab=local&dstmp=1393300233688&srt=rank&mode=Basic&dum=true&vl(freeText0)=add+MS+47170&vid=IAMS_VU2,
155,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,Cotton Charters XV.7,1300,1400,,Unknown Provenance,,,161.3,20.3,,,N,French,,"Roll containing a Chronicle from Brutus to the death of Edward II. In three parts. 1. Chronicle from Brutus to the martyrdom of St. Alban, with a picture of the fight with the Giants, and the decollation of the Saint. 2. Chronicle from the Heptarchy to the death of Simon de Montfort, 4 Aug. 1265. Imperfect at the end. 3. A continuation to the death of Edward II, also incomplete at the end.",,"Tyson, Diana B. “The Manuscript Tradition of Old French Prose Brut Rolls.” Scriptorium 55 (2001): 107–18, BL5.",,,,
162,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,Lansdowne Charters 3,1275,1300,,Unknown Provenance,,,Unknown,Unknown,,,,French,,Genealogical Chronicle from the Heptarchy to the reign of Henry III. It is continued by indorsement to the reign of Richard II.,Written on vellum.,"Tyson, Diana B. “The Manuscript Tradition of Old French Prose Brut Rolls.” Scriptorium 55 (2001): 107–18, BL6.",SDP,,,
169,GB Roy. Gen.,British Library,London,GB,"British Library, London GB",,,,RP 1517/1 (lost),1200,1400,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,"Photos only because scroll is now lost. Sold by Doerling, Hamburg, 1987.",,"Tyson, Diana B. “The Manuscript Tradition of Old French Prose Brut Rolls.” Scriptorium 55 (2001): 107–18, BL9.",,,,
